Nama,URL,Lokasi,Tipe Kuliner,Rasa,Suasana,Harga : Rasa,Pelayanan,Kebersihan,Jam Buka,Pembayaran,Fasilitas,Alamat,Telepon,Price per Person
"Momo Paradise 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/momo-paradise-kelapa-gading,Kelapa Gading , Jepang,4.8,4.6,4.9,4.7,4.6,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Mal Kelapa Gading 5, Lantai GroundJl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",021 45853709,Di atas Rp. 200.000 /orang
"Jenderal Kopi Nusantara Buwas 
                [ Kafe ]",https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau,Riau , Kafe,4.4,4.7,3.8,4.7,4.6,"Senin - Kamis (10:00 - 22:00), Jumat - Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. LLRE Martadinata No. 219, Riau, Bandung",08119216869,Rp. 100.000 - Rp. 200.000 /orang
"Cu@Cafe 
                [ Kafe ]",https://pergikuliner.com/restaurants/bogor/cu-at-cafe-cibubur,Cibubur , Kafe,4.7,4.8,4.5,4.7,4.8,"Senin - Kamis (10:00 - 22:00), Jumat - Minggu (10:00 - 23:00)","Tunai, Visa, Master, Debet, QRIS",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Kota Wisata Cibubur, Cluster Amsterdam, Blok I1 No. 30Jl. Boulevard Kota Wisata, Cibubur, Bogor",08111113446,Rp. 50.000 - Rp. 100.000 /orang
"Fukumaru 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/fukumaru-kelapa-gading,Kelapa Gading , Jepang,4.6,4.5,4.1,4.6,4.7,"Selasa - Minggu (11:00 - 21:30), Senin Tutup","Hanya Non-Tunai: Debet, Go-pay, Ovo, Dana",Wifi100% HalalBisa reservasiArea parkir,"Jl. Raya Pegangsaan Dua No. 23C, Kelapa Gading, Jakarta Utara",081329192299,Rp. 50.000 - Rp. 100.000 /orang
"Hotaru Shabu Shabu 
                [ Jepang ]",https://pergikuliner.com/restaurants/tangerang/hotaru-shabu-shabu-alam-sutera,Alam Sutera , Jepang,4.7,4.7,3.9,4.6,4.7,"Senin - Jumat (11:00 - 15:00, 17:00 - 22:00), Sabtu - Minggu (11:00 - 22:00)","Tunai, Visa, Master, Debet",Wifi100% HalalRuang VIPBisa reservasiArea parkir,"Ruko Palmyra, Kav. 25A No. 9Jl. Jalur Sutera, Alam Sutera, Serpong, Tangerang Selatan","081977379888,  021 50102369",Di atas Rp. 200.000 /orang
"Isshin 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/isshin-slipi,Slipi , Jepang,4.7,4.4,4.1,4.7,4.5,"Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo",Wifi100% HalalBisa reservasiArea parkir,"Central Park, Lantai Lower GroundJl. Letjen S. Parman, Slipi, Jakarta Barat",021 56985157,Rp. 100.000 - Rp. 200.000 /orang
"Menya Musashi Bukotsu 
                [ Jepang ]",https://pergikuliner.com/restaurants/bekasi/menya-musashi-bukotsu-bekasi-utara,Bekasi Utara , Jepang,4.7,4.8,4.4,4.7,4.6,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",Area merokokArea outdoor100% HalalBisa reservasiArea parkir,"BCBD Summarecon Bekasi, La SpeziaJl. Bulevar Ahmad Yani No. 56A - B, Bekasi Utara, Bekasi","021 89494418,  081318880356",Rp. 50.000 - Rp. 100.000 /orang
"Furusato Izakaya - The Orient Hotel 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/furusato-izakaya-the-orient-hotel-sudirman,Sudirman , Jepang,4.4,4.7,4.1,4.5,4.5,"Senin - Jumat (11:00 - 13:00, 13:15 - 15:15, 17:30 - 19:30, 20:00 - 22:00), Sabtu - Minggu (11:00 - 22:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoorRuang VIPBisa reservasiArea parkirAlkohol,"The Orient Hotel, Lantai GroundJl. Jenderal Sudirman, Sudirman, Jakarta Pusat",08119250020,Di atas Rp. 200.000 /orang
"Caspar - The Orient Hotel 
                [ Spanyol ]",https://pergikuliner.com/restaurants/jakarta/caspar-the-orient-hotel-sudirman,Sudirman , Spanyol,4.7,4.8,3.8,4.7,4.7,"Senin - Kamis (11:00 - 22:00), Jumat - Minggu (11:00 - 24:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkirAlkohol,"The Orient Hotel, Lantai GroundJl. Jenderal Sudirman, Sudirman, Jakarta Pusat",082217817880,Di atas Rp. 200.000 /orang
"Zibaa 
                [ Barat,India,Arab/Timur Tengah,Indonesia ]",https://pergikuliner.com/restaurants/tangerang/zibaa-gading-serpong,Gading Serpong ," Barat,India,Arab/Timur Tengah,Indonesia",4.6,4.5,4.1,4.6,4.6,Senin - Minggu (11:15 - 22:00),"Tunai, Visa, Master, Debet, Ovo",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Ruko North Goldfinch, No. 51 - 52Jl. Springs Boulevard, Gading Serpong, Serpong, Tangerang",081251155592,Rp. 100.000 - Rp. 200.000 /orang
